_id,JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,ACUTELY_LOW_INCOME_DR,ACUTELY_LOW_INCOME_NDR,EXTREMELY_LOW_INCOME_DR,EXTREMELY_LOW_INCOME_NDR,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,ENT_APPROVE_DT1,NO_ENTITLEMENTS,BP_ACUTELY_LOW_INCOME_DR,BP_ACUTELY_LOW_INCOME_NDR,BP_EXTREMELY_LOW_INCOME_DR,BP_EXTREMELY_LOW_INCOME_NDR,BP_VLOW_INCOME_DR,BP_VLOW_INCOME_NDR,BP_LOW_INCOME_DR,BP_LOW_INCOME_NDR,BP_MOD_INCOME_DR,BP_MOD_INCOME_NDR,BP_ABOVE_MOD_INCOME,BP_ISSUE_DT1,NO_BUILDING_PERMITS,CO_ACUTELY_LOW_INCOME_DR,CO_ACUTELY_LOW_INCOME_NDR,CO_EXTREMELY_LOW_INCOME_DR,CO_EXTREMELY_LOW_INCOME_NDR,CO_VLOW_INCOME_DR,CO_VLOW_INCOME_NDR,CO_LOW_INCOME_DR,CO_LOW_INCOME_NDR,CO_MOD_INCOME_DR,CO_MOD_INCOME_NDR,CO_ABOVE_MOD_INCOME,CO_ISSUE_DT1,NO_OTHER_FORMS_OF_READINESS,EXTR_LOW_INCOME_UNITS,APPROVE_SB35,HISTORIC_SITES,INFILL_UNITS,FIN_ASSIST_NAME,DR_TYPE,NO_FA_DR,TERM_AFF_DR,DEM_DES_UNITS,DEM_OR_DES_UNITS,DEM_DES_UNITS_OWN_RENT,DENSITY_BONUS_TOTAL,DENSITY_BONUS_NUMBER_OTHER_INCENTIVES,DENSITY_BONUS_INCENTIVES,DENSITY_BONUS_RECEIVE_REDUCTION,NOTES,LATITUDE,LONGITUDE,STD_ADDRESS,SCORE
58,LONG BEACH,Los Angeles,2021,,7267006035,1036 CERRITOS AVE,BNEW254064,BNEW254064,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-03-24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.779679,-118.177485,"1036 Cerritos Ave, Long Beach, California, 90813",100
59,LONG BEACH,Los Angeles,2021,,7115022023,6230 LEMON AVE,BADD254242,BADD254242,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-04-29,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.867983,-118.179169,"6230 Lemon Ave, Long Beach, California, 90805",100
60,LONG BEACH,Los Angeles,2021,,7268012005,830 NEW YORK ST,BADD254458,BADD254458,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-09-28,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.784845,-118.182202,"830 E New York St, Long Beach, California, 90813",99.579999999999998
61,LONG BEACH,Los Angeles,2021,,7268012005,830 NEW YORK ST,BNEW254460,BNEW254460,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-09-30,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.784845,-118.182202,"830 E New York St, Long Beach, California, 90813",99.579999999999998
62,LONG BEACH,Los Angeles,2021,,7247007009,172 COVINA AVE,BADD254702,BADD254702,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-07-02,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.759070,-118.134390,"172 Covina Ave, Long Beach, California, 90803",100
63,STANISLAUS COUNTY,Stanislaus,2020,,022-029-112,7708 MONTEREY AVE,,BLD2020-0390,MH,Owner,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-07-15,1,0,0,0,0,0,0,0,0,0,0,1,2021-01-29,1,0,N,0,0,,,0,,0,0,0,0,0,,,MANUFACTURED DWELLING - 1980 LANCER 1568 SQ FT - NEW HOMESITE              C/S DURANGO AVE,37.526333,-121.011812,"7708 Monterey Ave, Ceres, California, 95307",94.390000000000001
64,STANISLAUS COUNTY,Stanislaus,2020,,048-036-035,17007 STATE HWY 33,,BLD2020-0098,MH,Owner,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-10-29,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,0,,,0,,0,0,0,0,0,,,MANUFACTURED HOME / 1974 LANCER ROYAL KNIGHT / AND CLEARANCE OF CNC DOC # 2019-0073032-00          C/S ALMOND,37.453582,-121.115291,"17007 State Highway 33, Patterson, California, 95363",94.390000000000001
65,STANISLAUS COUNTY,Stanislaus,2020,,041-004-008,525 GRAYSON,,BLD2018-2134,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-03-11,1,0,N,0,0,,,0,,0,0,0,0,0,,,Garage Conversion to ADU (Change garage to living space),37.565911,-121.000101,"525 W Grayson Rd, Modesto, California, 95358",92.109999999999999
66,STANISLAUS COUNTY,Stanislaus,2020,,074-009-002,5626,CHENAULT,BLD2018-0618,SFD,Owner,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-03-09,1,0,N,0,0,,,0,,0,0,0,0,0,,,NEW RESIDENTIAL DWELLING (3813 SF) W/ATTACHED GARAGE (752 SF),37.559009,-120.997660,,82.609999999999999
67,STANISLAUS COUNTY,Stanislaus,2020,,024-050-040,2703,DERR RD,BLD2019-2912,SFD,Owner,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-07-02,1,0,0,0,0,0,0,0,0,0,0,1,2020-11-19,1,0,N,0,0,,,0,,0,0,0,0,0,,,SINGLE FAMILY DWELLING  2138 SQ FT - 3 BEDROOM  AND ATTACHED TANDEM GARAGE & CALIFORNIA ROOM (SINGLE STORY),37.559009,-120.997660,,82.609999999999999
